title	type	url_slug	venue	date	location	talk_url	description	
Weisfeiler and Lehman use Simplicial Sets: Psuedotop Vertex Neural Networks	Machine Learning Seminar Talk	/talks/ptvnn	LOV103	2023-10-27	Florida State University	/files/ptvnn	Graph neural networks are paradigms of computation that yield powerful results for structured data based on binary relationships. However, they are limited in their expressivity by the Weisfeiler-Lehman test of for graph isomorphism. The core idea behind machine learning community's circumvention of this limitation relies on identifying (and working with) higher relationships within the data. In this talk, we put forward an architecture closely based on the identification of such higher relationships via Kan Extensions of structured data built on binary relations. We will talk about its theoretical underpinnings based on the combinatorics of simplicial sets, and based off of it, introduce the notion of a pseudotop vertex as a proxy for these higher relations. We talk about how this choice respects the variance and bias trade off necessary for generalizability of the architecture.	
An Introduction to Bell's Theorem	Graduate Student Seminar Talk	/talks/bells-theorem	LOV103	2022-11-04	Florida State University	/files/bells-theorem	Recent Nobel in Physics went to the pioneering experimentalists who helped lay foundations for Quantum Information Science. However, what the experiments also do is displace unsettling questions in philosophy out from the domain of social sciences, by bridging the physics of John Stuart Bell towards empirically verifiable claims. This is accomplished by exhibiting systems that violate an inequality, known as Bell's Inequality. In this talk, we will delve into the details of Bell's Inequality and discuss its assumptions, advancements that led to the development of Bell's Theorem, and its implications for the foundations of Quantum Mechanics.	
Infinite Simplices: An Excursion into Simplicial Sets	Research Sharing Luncheon	/talks/infinite-simplices-excursion	Honors, Scholars and Fellows Society	2022-10-19	Florida State University	/files/infinite-simplices-excursion	The first use of a graph of a network can be traced back to Euler on his solution to the Bridges of Konigsberg problem. Since then, graphs have been mainly a mathematical curiosity. The acceptance of graphs by the wider scientific community has exploded in the past twenty years or so, especially after the very humbling and exciting endeavor of mapping of the network of the code of our origins a.k.a., the Human Genome Project. However, many of the common utilizations of graphs rely on a finite amount of data, however large. In this talk, we'll introduce the notion of a simplicial set, which generalizes the notion of a graph to account for an infinite amount of data. Time permitting, we'll look into an example of these infinite graphs applied to the modelling of misinformation.	
Axiomatization of Differential Cohomology	Algebra Seminar Talk	/talks/Differential Cohomology	Zoom	2021-10-21	Florida State University	/files/Differential Cohomology	Differential Cohomology is a cohomological theory which extends topological cohomology theories. These latter generalized cohomology theories are those which satisfies Eilenberg-Steenrod axioms, an example of which is singular cohomology. Differential Cohomology extends topological cohomology by taking into account geometric data of the underlying topological space. In this talk, we review the basic construction of ordinary differential cohomology in the spirit of Simons and Cheeger and then talk about the axioms of Differential Cohomology. 	
A Combinatorial Approach to Simplicial Sets	Topology Seminar Talk	/talks/combinatorial-approach-to-simplicial-sets	LOV103	2020-10-11	Florida State University	/files/combinatorial-approach-to-simplicial-sets	Simplicial Sets model weak homotopy types of topological spaces and ∞-groupoids, thanks to their particularly simple but powerful functorial definition. By their very nature, these models are very combinatorial. However, much of the combinatorics are hidden, and therefore, mostly forgotten in the above models. In this talk, we will delve into the details of the combinatorics of a simplicial set itself, working our way through the combinatorics of a simplicial complex and delta set, with their gluing data, thus motivating the need for a simplicial set in the first place. We will introduce terminology that lets us handle all this (infinite) data simultaneously, effectively bringing the combinatorics to the fore. Finally, time permitting, we will talk about the combinatorics of Kan complexes and simplicial homotopy.	
The variational bicomplex and Takens’s theorem	Candidacy Exam Talk	/talks/Takens Theorem	Zoom	2020-04-22	Florida State University	/files/Takens Theorem	All of mathematical physics either concerns infinitesimal descriptions of reality or global descriptions of reality. A simple example of the former is a differential equation, whereas fields like gravitational fields and electromagnetic fields exemplify the latter. Dierential Geometry and Dierential Topology provide a language that unfiies this description in the language of bundles. For instance, fields are defined as sections of appropriate bundles. In fact, a field theory, which is usually formalised as a variational calculus problem and its leading differential equation, can be prescribed in terms of special bundles called jet bundles. This formalism for field theory spans both classical and quantum field theory, after suitable modications.	
Hilbert’s Sixth Problem and Topos Theory	Graduate Student Seminar Talk	/talks/Hilberts Sixth Problem	LOV201	2019-03-12	Florida State University	files/Hilberts Sixth Problem	On August 8, 1900, David Hilbert presented the then community of mathematicians a list of problems in the Second International Congress in Paris. These problems shaped the mathematics of the proceeding years. One particular problem, called Hilbert's Sixth Problem, was a programmatic call for the axiomatization of physics. To date, no satisfactory axioms have been proposed. In this talk, we survey the mathematical reasons why this is the case and present a possible approach using Topos Theory.	
Mathematics and the formalism of Quantum Mechanics	Seminar Talk	/talks/mathematics-and-the-formalism-of-quantum-Mechanics	Islamabad	2015-12-03	Quaid-e-Azam University	/files/mathematical-foundations-of-qauntum-mechanics-qau	We work our way by physical intuition to the popular axioms of Quantum Mechanics as defined by von Neumann. Directions come by appeal to the Double Slit Experiment and by using notions of functional analysis, as defined in E. Kreyszig, Introductory Functional Analysis with Applications, John Wiley & Sons, 1978	
Alexander Grothendieck: The Man	Seminar Talk	/talks/alexander-grothendieck-deMan	Islamabad	2015-03-12	COMSATS Institute of Information Technology, Virtual Campus	/files/alex-grothendieck	This talk focuses on the life and struggles of Alexander Grothendieck	
Mathematics and the formalism of Quantum Mechanics	Seminar Talk	/talks/mathematics-and-the-formalism-of-qMechanics	Islamabad	2015-10-13	COMSATS Institute of Information Technology, Virtual Campus	/files/mathematical-foundations-of-qauntum-mechanics	We work our way by physical intuition to the popular axioms of Quantum Mechanics as defined by von Neumann. Directions come by appeal to the Double Slit Experiment and by using notions of functional analysis, as defined in E. Kreyszig, Introductory Functional Analysis with Applications, John Wiley & Sons, 1978	
